Epoch,Train Loss,Test Loss,Epoch Time,Total Time
1,0.5145864074025304,0.4162728818133473,179.0245678271167,179.0245678271167
2,0.2635021276026964,0.41712684884667395,177.65082389721647,356.67539172433317
3,0.21479839865118266,0.34888631030917167,178.13488069502637,534.8102724193595
4,0.17584869656711816,0.3433999174274504,178.59455867111683,713.4048310904764
5,0.16650325630791485,0.3369450690224767,179.05159188434482,892.4564229748212
6,0.1674822638044134,0.3165625545196235,179.0327312797308,1071.489154254552
7,0.15023458090610803,0.306376947760582,179.38401892222464,1250.8731731767766
8,0.1556653801444918,0.2963299802690744,179.25757701089606,1430.1307501876727
9,0.12996639737393706,0.2930125144124031,179.36744447704405,1609.4981946647167
10,0.12883358088787644,0.2634885271638632,179.11202784674242,1788.6102225114591
11,0.12051042979583144,0.2810287231951952,179.2839709711261,1967.8941934825853
12,0.11796052855905145,0.2797308495268226,179.19031949620694,2147.084512978792
13,0.1116594503633678,0.2642394654452801,178.95419178716838,2326.0387047659606
14,0.11237786737736315,0.2534860442019999,179.13654536008835,2505.175250126049
15,0.10937583607621491,0.24149081638082862,178.87586932908744,2684.0511194551364
16,0.1099854722712189,0.29011418137699363,179.00591837381944,2863.057037828956
17,0.10146901354659349,0.2693960773386061,179.27208384964615,3042.329121678602
18,0.09629442269913852,0.23525041600689292,179.09507572697476,3221.4241974055767
19,0.09453041808214038,0.24234205082058907,179.13917434075847,3400.563371746335
20,0.09539066874422134,0.23278550719842314,179.25117991585284,3579.814551662188
21,0.09231477718334645,0.22770067036151886,179.06801711209118,3758.882568774279
22,0.08796584920026362,0.23605439990758895,179.16783536598086,3938.05040414026
23,0.08867601400008425,0.21955544784665107,179.4419903946109,4117.492394534871
24,0.08543920809868723,0.23175988944247364,179.67350828601047,4297.1659028208815
25,0.08373834878206253,0.21955099932849406,179.52162637887523,4476.687529199757
26,0.0808878355822526,0.21416933696717025,179.3982904618606,4656.085819661617
27,0.08456166439224035,0.23204732608050108,179.20490236394107,4835.290722025558
28,0.08444310283754021,0.21495037836953998,178.97645860165358,5014.267180627212
29,0.08136511467862874,0.21750471660867332,179.10089072026312,5193.368071347475
30,0.08681662118528038,0.22124158451333642,179.07273752102628,5372.440808868501
31,0.08089132665656507,0.2212252027913928,179.2668757457286,5551.70768461423
32,0.07645094795618207,0.2562482415512204,179.05332377180457,5730.7610083860345
33,0.07805312156677247,0.21634842904284596,179.03735598362982,5909.798364369664
34,0.08451909351628274,0.23282544955611228,179.10881337244064,6088.907177742105
35,0.08216195753309875,0.21100085746496916,179.0218458310701,6267.929023573175
36,0.07915276329498738,0.2168926284648478,179.22536735003814,6447.154390923213
37,0.07830372589407489,0.21465554736554623,179.12292033527046,6626.277311258484
38,0.075767816407606,0.2080063008144498,179.00010135909542,6805.277412617579
39,0.07537367265904323,0.21496873281896114,179.12595131481066,6984.40336393239
40,0.07881933686556294,0.20255837159231305,178.9762955023907,7163.3796594347805
41,0.07472419641446322,0.20973537499085068,178.9962202226743,7342.375879657455
42,0.0773608110845089,0.24429510733112692,179.12382092885673,7521.4997005863115
43,0.07506081831408665,0.22277075186371803,178.88910421403125,7700.388804800343
44,0.07482963139889762,0.21497643170878292,178.89830874372274,7879.2871135440655
45,0.0726655438146554,0.2090702011436224,179.31005335832015,8058.597166902386
46,0.07597799039212987,0.2021498248167336,179.11808996461332,8237.715256866999
47,0.0719489745167084,0.20267606150358916,178.95180702302605,8416.667063890025
48,0.0785248793871142,0.21090184658765793,178.9758567190729,8595.642920609098
49,0.07570413299370557,0.2165625607408583,179.23506960598752,8774.877990215085
50,0.07096771984361112,0.2235123025998473,178.8085095747374,8953.686499789823
51,0.051648519071750346,0.19945449387654662,178.66324643278494,9132.349746222608
52,0.050685523899737746,0.20797065295279027,178.57364433910698,9310.923390561715
53,0.04895480101229623,0.1986577100120485,178.36016485886648,9489.283555420581
54,0.048908813435118645,0.20209646347910165,178.39748990209773,9667.681045322679
55,0.04754805289208889,0.20098316319286824,178.21043870178983,9845.891484024469
56,0.04885092664277181,0.21101262234151363,178.16369245713577,10024.055176481605
57,0.048793962420895697,0.20171419735997914,178.0179980644025,10202.073174546007
58,0.04894397489959374,0.19748857080936433,178.04302582889795,10380.116200374905
59,0.04805325762601569,0.21957430351525545,177.78375991107896,10557.899960285984
60,0.048692161387298254,0.20564752526581287,178.23920365097,10736.139163936954
61,0.046391073875129224,0.2016563675366342,177.91238777898252,10914.051551715937
62,0.04764966879040003,0.2112820271961391,177.83206894574687,11091.883620661683
63,0.04646127484273165,0.20023428525775672,177.88030612887815,11269.763926790562
64,0.04769329519243911,0.20057580145075918,177.90307357208803,11447.66700036265
65,0.04986253323266283,0.20598976999521257,177.7880615578033,11625.455061920453
66,0.04781866129953414,0.20420277077704668,177.59249139018357,11803.047553310636
67,0.0485515496856533,0.20645935863256454,177.67884419113398,11980.72639750177
68,0.046383096270728855,0.20183549619279803,177.7322190431878,12158.458616544958
69,0.04576652179472149,0.2011948456056416,177.50596272107214,12335.96457926603
70,0.04858162565156818,0.20309580532833935,177.49438808811828,12513.458967354149
71,0.04592712154611945,0.206855326090008,177.70583345089108,12691.16480080504
72,0.045980392484925685,0.21010937195271254,177.49050003197044,12868.65530083701
73,0.04599414690630511,0.20163528986275195,177.37969683716074,13046.03499767417
74,0.049105531617533414,0.20927074367180468,177.50053138425574,13223.535529058427
75,0.04724859382258728,0.21147729765623807,177.54565486870706,13401.081183927134
76,0.04518350879196078,0.20727241465821863,177.4412768459879,13578.522460773122
77,0.04902650553965941,0.207632489874959,177.43179984577,13755.954260618892
78,0.045267181252129376,0.2000291384011507,177.52198938280344,13933.476250001695
79,0.04741561437956989,0.21030958069488406,177.56618317915127,14111.042433180846
80,0.04622870198218152,0.20451322585344314,177.32833672966808,14288.370769910514
81,0.04700411503436044,0.2132015173509717,177.5522204209119,14465.922990331426
82,0.04699331862153486,0.20247433699667453,177.1808695360087,14643.103859867435
83,0.046765143668744714,0.20449097592383622,177.60962724406272,14820.713487111498
84,0.04537768212147057,0.19764206022955477,177.3798121525906,14998.093299264088
85,0.04499983720015734,0.20456085067242383,177.5071643027477,15175.600463566836
86,0.04495154141215608,0.20554879438132048,177.27964785508811,15352.880111421924
87,0.0470063789584674,0.20543053979054093,177.20210309885442,15530.082214520779
88,0.04553114809561521,0.21200814600102602,177.56711585214362,15707.649330372922
89,0.04668364131823182,0.1968310170248151,177.23368969606236,15884.883020068984
90,0.0458797415997833,0.20007823258638383,177.41232790611684,16062.295347975101
91,0.0457031050696969,0.19973929675295948,177.40713891526684,16239.702486890368
92,0.045496172627899796,0.20370827162638305,177.52718254504725,16417.229669435415
93,0.04687975646927953,0.2052958786301315,177.54906010394916,16594.778729539365
94,0.0456450109812431,0.20370833329856397,177.37646002369002,16772.155189563055
95,0.04624840996460989,0.21198155475780367,177.55404539965093,16949.709234962706
96,0.04480745295993984,0.2043845422193408,177.48730856133625,17127.19654352404
97,0.044920653535518794,0.20733665239065885,177.51555470796302,17304.712098232005
98,0.046004562068264934,0.2049257677141577,177.53337824204937,17482.245476474054
99,0.04635693240445107,0.20490460650995374,177.58744771173224,17659.832924185786
100,0.044057993900496514,0.20597319601103664,177.51239926787093,17837.345323453657
101,0.0353756322292611,0.2035813898406923,177.02436092076823,18014.369684374426
102,0.033734767648857085,0.20695116356015206,177.38906010100618,18191.75874447543
103,0.0340042511257343,0.20409251663833858,177.42518823081627,18369.183932706248
104,0.034129344781395045,0.20636816637590527,177.33958551613614,18546.523518222384
105,0.03401328334119171,0.20598199125379324,177.22712024487555,18723.75063846726
106,0.03281246563186869,0.20589386757463216,177.3045323868282,18901.055170854088
107,0.03325368468184024,0.20762519735842944,177.29857908794656,19078.353749942034
108,0.03412056985544041,0.20838595926761627,177.278707515914,19255.63245745795
109,0.03339100384619087,0.20511642390862106,177.0690433997661,19432.701500857715
110,0.03313959250226617,0.20767202127724885,177.13936149002984,19609.840862347744
111,0.0328642922709696,0.20458777933381497,177.17292615072802,19787.013788498472
112,0.03278488367097452,0.20561572697013616,177.23182282736525,19964.245611325838
113,0.03378016801318154,0.20532844806089998,177.19328042911366,20141.43889175495
114,0.032740856730379166,0.20992448780685663,177.2751441099681,20318.71403586492
115,0.03250752616906539,0.20415956016629935,177.30878760199994,20496.02282346692
116,0.03342853812966496,0.20754984913393856,177.37470675073564,20673.397530217655
117,0.03313781386939809,0.20606228590011597,177.44739814195782,20850.844928359613
118,0.03313367808470503,0.20668148608878256,177.32908045873046,21028.174008818343
119,0.03279467809479684,0.20882730551064013,177.40464210696518,21205.57865092531
120,0.032396276756189765,0.20425028450787067,177.6284489571117,21383.20709988242
121,0.0323929984215647,0.20856270352378486,177.96042063320056,21561.16752051562
122,0.033461863717529926,0.20972864774987102,177.53456137981266,21738.702081895433
123,0.032522392524406314,0.2091151580773294,177.6781466268003,21916.380228522234
124,0.03394039513310418,0.21003358783200382,177.4499647859484,22093.830193308182
125,0.0326335938507691,0.20861633034422994,177.122210143134,22270.952403451316
126,0.032722457493655384,0.20680299926549195,177.2697488218546,22448.22215227317
127,0.03257027637446299,0.20353655367158352,177.36194259580225,22625.584094868973
128,0.033491301911417394,0.20297854809090496,177.10664642276242,22802.690741291735
129,0.033661123972851786,0.21069530049338936,177.27886114409193,22979.969602435827
130,0.032906642279122024,0.207054627481848,177.19703377922997,23157.166636215057
131,0.031988992285914716,0.20664090635254978,177.30190369673073,23334.468539911788
132,0.031754583325237035,0.20797093216329812,177.29224085295573,23511.760780764744
133,0.03405599864199758,0.2093183897435665,177.42644934915006,23689.187230113894
134,0.032733090941328556,0.20822890616953374,177.37410049512982,23866.561330609024
135,0.03283197485376149,0.2061808393523097,177.36793396435678,24043.92926457338
136,0.0328786365641281,0.20817051449790597,177.38024638406932,24221.30951095745
137,0.03271634005825035,0.2088467389345169,177.35788910090923,24398.66740005836
138,0.03207548000151292,0.20698633481748402,177.37527218321338,24576.042672241572
139,0.03279900449793786,0.20388965154066682,177.32162547903135,24753.364297720604
140,0.03223674984183163,0.20751547530293465,177.3852922101505,24930.749589930754
141,0.0322219770308584,0.20799595974385737,177.3368554902263,25108.08644542098
142,0.03231803216971457,0.20647562200203537,177.28798002097756,25285.374425441958
143,0.03263318254146725,0.20649831272661687,177.22096574818715,25462.595391190145
144,0.032987088840454815,0.20940998928621413,177.00764381792396,25639.60303500807
145,0.03152655486948788,0.20888667538762093,177.30082648107782,25816.903861489147
146,0.031750439025927335,0.20757539139129222,176.9233373501338,25993.82719883928
147,0.0324587669945322,0.20949539620429278,177.12120895832777,26170.94840779761
148,0.03260837801732123,0.2095922278240323,177.17770346300676,26348.126111260615
149,0.03338219980243593,0.20799229066818953,177.1495015923865,26525.275612853
150,0.032299125231802464,0.207861040327698,177.10660771792755,26702.38222057093
151,0.026894378763390705,0.20888045469298958,177.1353380419314,26879.51755861286
152,0.02608430135063827,0.20982351900078355,177.0333373551257,27056.550895967986
153,0.026223613227484746,0.20994346279650927,177.22561581106856,27233.776511779055
154,0.026311538385925815,0.2072476519830525,177.28900450095534,27411.06551628001
155,0.025975158392684536,0.20921286565251648,177.43621949013323,27588.501735770144
156,0.026253896612906828,0.20999676475301385,177.4234654516913,27765.925201221835
157,0.02572595312958583,0.20700916297733785,177.601779717952,27943.526980939787
158,0.025978793450631203,0.20872716896235943,177.60184500319883,28121.128825942986
159,0.026038234854349866,0.20711904274299742,177.80124151194468,28298.93006745493
160,0.025747648978140206,0.20766941394656896,177.786538511049,28476.71660596598
161,0.026051912059774623,0.20929747823625802,177.64678848395124,28654.36339444993
162,0.025962964243954046,0.20899375435896217,177.9000444021076,28832.26343885204
163,0.025522268463391812,0.20957558579742908,177.75598168512806,29010.019420537166
164,0.025706035894108935,0.21075597327202558,178.17282644985244,29188.19224698702
165,0.025970473429188134,0.20849943584762515,178.12646895321086,29366.31871594023
166,0.02572235113242641,0.2114367770962417,178.08296587783843,29544.401681818068
167,0.025846053455024956,0.21197880251333118,178.1202826197259,29722.521964437794
168,0.025595670520560818,0.2093681486323476,177.99992535402998,29900.521889791824
169,0.02583485727664083,0.2091254362091422,178.10946186399087,30078.631351655815
170,0.025706008143024518,0.20865507205948233,178.27142181200907,30256.902773467824
171,0.02533678350970149,0.20748088885098695,178.45683406386524,30435.35960753169
172,0.025535488410387188,0.21076397048309445,178.20514133386314,30613.564748865552
173,0.025329454492311925,0.21047600416466594,178.3155969819054,30791.880345847458
174,0.02564807768096216,0.2097181510925293,178.52829770324752,30970.408643550705
175,0.025475041718455032,0.2095704624056816,178.6690376442857,31149.07768119499
176,0.025248625944368542,0.20941823119297623,178.4683299488388,31327.54601114383
177,0.025237491226289422,0.21054576186463236,178.7964265262708,31506.3424376701
178,0.02568059157580137,0.20935695001855492,178.89760491717607,31685.240042587277
179,0.025278217796003446,0.21020349841564895,178.7567970836535,31863.99683967093
180,0.025134213205892594,0.2104531042277813,178.8479335848242,32042.844773255754
181,0.025155223292531444,0.2109133386053145,178.68293216871098,32221.527705424465
182,0.025653735667001454,0.20962992230430244,179.07989555085078,32400.607600975316
183,0.02516067790449597,0.20847158236429095,179.1714645368047,32579.77906551212
184,0.0254735248722136,0.2069459122605622,178.9455069648102,32758.72457247693
185,0.02566700863535516,0.209210509005934,179.24242610111833,32937.96699857805
186,0.0252497336640954,0.20767295382916928,179.32611396163702,33117.293112539686
187,0.02555253933183849,0.20616474659182132,179.4608915396966,33296.75400407938
188,0.02503393208258785,0.2100966253504157,179.48755257483572,33476.24155665422
189,0.025123726224992423,0.20877328323200345,179.41402254393324,33655.65557919815
190,0.02518548799562268,0.20718455698341132,179.44207831891254,33835.097657517064
191,0.025334307336015625,0.2082752236351371,179.51755818817765,34014.61521570524
192,0.025014702938497068,0.20795355441980065,179.32409200584516,34193.93930771109
193,0.025130126549629494,0.20997948203235864,179.3984256950207,34373.33773340611
194,0.02545352060929872,0.21016380393877626,179.5185623439029,34552.85629575001
195,0.024800225800136105,0.20873298540711402,179.78202152298763,34732.638317273
196,0.025163008916424586,0.20881556279957295,179.50826683221385,34912.14658410521
197,0.025465182428015397,0.20734364215284587,180.1118279970251,35092.25841210224
198,0.025559934477787465,0.20743224510923028,180.35627322737128,35272.61468532961
199,0.025108259223634376,0.2107058446481824,180.69220377877355,35453.30688910838
200,0.02499136628000997,0.2074359338544309,180.85208775196224,35634.158976860344
201,0.022593984259292484,0.20771523245610296,180.82545669190586,35814.98443355225
202,0.022056400198489427,0.2085155352577567,180.8784456141293,35995.86287916638
203,0.022161231408827007,0.20960136806592344,180.8058491568081,36176.66872832319
204,0.02236087644007057,0.2087025921791792,180.722604860086,36357.391333183274
205,0.022135975039564073,0.20915834086947144,180.34597175428644,36537.73730493756
206,0.022253309986554087,0.2088029290549457,179.82462946604937,36717.56193440361
207,0.022152003893861547,0.20974829512648285,179.95882129995152,36897.52075570356
208,0.02201443227590062,0.20956247768364847,179.59560126671568,37077.11635697028
209,0.022080948216607794,0.2082455274183303,179.8085170951672,37256.924874065444
210,0.0220305402809754,0.20877834292128683,179.4956865236163,37436.42056058906
211,0.02194233989692293,0.20848712763749064,179.5969138010405,37616.0174743901
212,0.02182530690799467,0.21028788989409805,179.52557400986552,37795.543048399966
213,0.022082916393410413,0.20892582749016583,179.5087728011422,37975.05182120111
214,0.021928129576845094,0.2089162009395659,179.39704671502113,38154.44886791613
215,0.022134279548190534,0.2095977145805955,179.51613492472097,38333.96500284085
216,0.021861945153214036,0.2086994969751686,179.50332536688074,38513.46832820773
217,0.021750663085840644,0.2086030163988471,179.35421429388225,38692.82254250161
218,0.021936665534740316,0.2101416233368218,179.40466305660084,38872.227205558214
219,0.02184320371598005,0.21057530103251337,179.3611346730031,39051.58834023122
220,0.021814556628232822,0.20906543200835587,179.446931052953,39231.03527128417
221,0.021842804801417516,0.21094468507915734,179.5695560979657,39410.604827382136
222,0.021968093367759137,0.2095264378003776,179.58390122512355,39590.18872860726
223,0.02172262837179005,0.21025532139465214,179.45747508155182,39769.64620368881
224,0.021863483482738956,0.2090492956712842,179.35386445606127,39949.00006814487
225,0.02179788950714283,0.2089671095367521,179.4280911339447,40128.42815927882
226,0.021633717013755813,0.21080905137583614,179.52245247224346,40307.95061175106
227,0.02183758854633197,0.2094404179044068,179.49948326824233,40487.4500950193
228,0.02166123950271867,0.21006002026610077,179.5105865788646,40666.96068159817
229,0.021784535434562713,0.21153113359585404,179.44426157325506,40846.40494317142
230,0.021799912845017387,0.20894365082494915,179.45791475428268,41025.862857925706
231,0.021672843575943262,0.2104709326662123,179.58753473078832,41205.450392656494
232,0.02175853032618761,0.20979539423249663,179.66834939597175,41385.118742052466
233,0.02170785962138325,0.20997003450989724,179.52374019427225,41564.64248224674
234,0.021515435363398866,0.2092487133666873,179.4542579180561,41744.096740164794
235,0.02163060229853727,0.2100746457464993,179.58416993543506,41923.68091010023
236,0.021530591264599934,0.20910654049366711,179.47718900395557,42103.158099104185
237,0.02166953430627473,0.21097146237269043,179.69981980137527,42282.85791890556
238,0.0215548371267505,0.21037900594994427,179.5781303276308,42462.43604923319
239,0.0216926155553665,0.20950748924165963,179.60310674179345,42642.039155974984
240,0.02170661083306186,0.20896662635728716,179.60836368100718,42821.64751965599
241,0.021581236586207524,0.20984850700013338,179.43123405380175,43001.07875370979
242,0.02151838335674256,0.2101808756776154,179.49064467288554,43180.56939838268
243,0.02166434677899815,0.2109764400497079,179.55520779732615,43360.124606180005
244,0.021641374225728215,0.2093704720772803,179.77075053192675,43539.89535671193
245,0.021590460204752162,0.20984115594998,179.48417712096125,43719.37953383289
246,0.02159211861435324,0.20947161136195064,179.62814406584948,43899.00767789874
247,0.02156330266268924,0.21096625655889512,179.37005336908624,44078.37773126783
248,0.021554729122435674,0.21100724384188652,179.47757412819192,44257.85530539602
249,0.021378443777794017,0.2092149335332215,179.58628071378917,44437.44158610981
250,0.02159289037226699,0.21020545037463306,179.78753712493926,44617.22912323475
251,0.02033872900530696,0.21038194291293622,179.66939635807648,44796.898519592825
252,0.02018547862302512,0.21034397535026073,179.61204343801364,44976.51056303084
253,0.02016663017566316,0.21018314846791328,179.82985451305285,45156.34041754389
254,0.020280918666394428,0.2108038306236267,179.73378359200433,45336.074201135896
255,0.02024778331280686,0.209993230458349,179.74459361471236,45515.81879475061
256,0.020183706354582682,0.20980575790628792,179.88122012699023,45695.7000148776
257,0.020156575459986927,0.21033922281116246,179.7592904861085,45875.45930536371
258,0.020154193533817307,0.2105389156471938,179.9402970969677,46055.399602460675
259,0.020158685005735606,0.2097571930475533,179.77982868812978,46235.179431148805
260,0.02014965642010793,0.21017425442114473,179.59608159121126,46414.775512740016
261,0.0201339269510936,0.20957794113084674,179.81351886689663,46594.58903160691
262,0.020189151075901465,0.21102001352235675,179.94067514501512,46774.52970675193
263,0.020118529164465146,0.21154694007709623,179.5841443343088,46954.11385108624
