Epoch,Train Loss,Test Loss,Epoch Time,Total Time
1,0.622268414227292,0.3599570506066084,220.83067074092105,220.83067074092105
2,0.31272583939135074,0.2764522340893745,219.31489515304565,440.1455658939667
3,0.2626023251703009,0.26681613583117725,219.59552260814235,659.741088502109
4,0.22858542672358453,0.2602180378511548,219.85076481290162,879.5918533150107
5,0.19767670105211438,0.2345728960633278,219.9616232989356,1099.5534766139463
6,0.19624879299197345,0.19974679071456194,219.99904501391575,1319.552521627862
7,0.1879382307268679,0.17731892032548785,220.08580618724227,1539.6383278151043
8,0.17062255665194243,0.16901987178251146,220.2756015979685,1759.9139294130728
9,0.167900666045025,0.21514116153120993,220.23852102272213,1980.152450435795
10,0.19193603620864452,0.20548089288175106,220.16895065410063,2200.3214010898955
11,0.14803433796856552,0.164753498993814,220.01268228096887,2420.3340833708644
12,0.14627796697895973,0.16242471493780614,219.96376834483817,2640.2978517157026
13,0.1424890772998333,0.1569490842334926,220.0872375080362,2860.3850892237388
14,0.14078989509493112,0.14945668512955307,220.10991975478828,3080.495008978527
15,0.14132886606268585,0.15793871942907572,219.9481972833164,3300.4432062618434
16,0.12650082659907638,0.18739144511520864,219.8185793091543,3520.2617855709977
17,0.12946143756620587,0.16105024099349977,219.93507610308006,3740.196861674078
18,0.1257022237498313,0.18691105473786593,219.70681834360585,3959.9036800176837
19,0.11913745520170778,0.14668620565906168,219.78938051871955,4179.693060536403
20,0.11537449148949236,0.14302933109924199,219.66568118706346,4399.358741723467
21,0.11465361386537552,0.15997524172067643,219.71355339232832,4619.072295115795
22,0.11389084671624004,0.17377335269004107,219.69253645464778,4838.764831570443
23,0.11159244827926158,0.1571114698238671,220.1202827184461,5058.885114288889
24,0.11150542336516082,0.13746726224198938,220.18145733699203,5279.066571625881
25,0.11243965830188245,0.16191355906426907,219.9437814312987,5499.01035305718
26,0.10467122591566294,0.1390362396091223,219.6794705647044,5718.689823621884
27,0.10295115812215955,0.15087589427828788,219.9844452869147,5938.674268908799
28,0.10322891837451607,0.14200169701129198,220.00502438563854,6158.679293294437
29,0.10667868887539952,0.13976379349827767,219.89327601483092,6378.572569309268
30,0.10156373493373394,0.1405472573451698,219.8466470045969,6598.419216313865
31,0.10744547504466027,0.1459152079001069,220.18907506903633,6818.608291382901
32,0.10014805911574513,0.13582836780697108,219.60324294585735,7038.211534328759
33,0.10257206707261503,0.13930425815284253,219.5526782697998,7257.7642125985585
34,0.09833742880262435,0.13109219869598746,219.51936256000772,7477.283575158566
35,0.09422855217009783,0.12395042913034558,219.38819219404832,7696.671767352615
36,0.09855567917693406,0.1337504793703556,219.49190239608288,7916.163669748697
37,0.10243029633071274,0.1455689462274313,219.6501664770767,8135.813836225774
38,0.1001590171456337,0.13594119310379027,219.65228350274265,8355.466119728517
39,0.09410870631691068,0.13078580360859632,219.43368546804413,8574.899805196561
40,0.09564237332437188,0.14745961371809244,219.5462394929491,8794.44604468951
41,0.09526014828123153,0.12812167966738344,219.592776987236,9014.038821676746
42,0.09732343744952232,0.14053500508889555,219.25640424108133,9233.295225917827
43,0.09083618109114468,0.13996909257024526,219.28971525281668,9452.584941170644
44,0.09607709800358862,0.12485043205320835,219.32947050593793,9671.914411676582
45,0.0900745422532782,0.13849224297329785,219.16631013294682,9891.080721809529
46,0.09191285998094827,0.13029816623777152,219.20763605413958,10110.288357863668
47,0.08878321970812976,0.1297160490229726,219.2678461461328,10329.556204009801
48,0.0910221941024065,0.11962876737117767,219.57211814494804,10549.12832215475
49,0.08792831007391215,0.1284272387623787,219.3975492459722,10768.525871400721
50,0.0894395735557191,0.1393875896371901,219.4895989317447,10988.015470332466
51,0.06823520384496078,0.11469931857660413,219.01449348032475,11207.02996381279
52,0.06307258742395788,0.1209233601205051,218.58134957961738,11425.611313392408
